pair_id,subset,L1,a1,b1,L2,a2,b2,DV
1129,BFD-D65,46.843018,9.459996,-14.706019,47.752029,9.151309,-13.839125,0.594439
1130,BFD-D65,46.843018,9.459996,-14.706019,47.066193,8.252254,-13.079809,1.150530
1131,BFD-D65,46.843018,9.459996,-14.706019,45.988266,11.218498,-16.208773,1.572390
1132,BFD-D65,46.843018,9.459996,-14.706019,47.404495,9.766180,-14.012670,0.642378
1133,BFD-D65,46.843018,9.459996,-14.706019,47.815975,10.316725,-13.992885,0.958773
1134,BFD-D65,46.843018,9.459996,-14.706019,46.217606,10.204192,-14.516825,0.699904
1135,BFD-D65,46.843018,9.459996,-14.706019,47.040016,9.666692,-15.665176,0.488974
1136,BFD-D65,46.843018,9.459996,-14.706019,45.784492,8.676370,-13.369141,1.179290
1137,BFD-D65,46.843018,9.459996,-14.706019,47.790409,7.846832,-13.960263,1.792910
1138,BFD-D65,46.843018,9.459996,-14.706019,47.430370,7.426414,-14.502270,1.438160
1139,BFD-D65,46.843018,9.459996,-14.706019,47.572300,9.072626,-15.610582,0.958773
1140,BFD-D65,46.843018,9.459996,-14.706019,47.261806,8.440722,-14.024857,0.805369
1141,BFD-D65,46.843018,9.459996,-14.706019,47.287800,10.893925,-14.058870,1.610740
1142,BFD-D65,47.235798,-4.873497,-25.659845,48.032433,-6.229394,-26.167040,0.899281
1143,BFD-D65,47.235798,-4.873497,-25.659845,47.892540,-6.464955,-23.922920,1.115110
1144,BFD-D65,47.235798,-4.873497,-25.659845,47.365646,-4.688555,-24.646730,0.707434
1145,BFD-D65,47.235798,-4.873497,-25.659845,47.546543,-5.248015,-24.230824,1.055160
1146,BFD-D65,47.235798,-4.873497,-25.659845,47.196739,-6.188429,-27.027718,1.318940
1147,BFD-D65,47.235798,-4.873497,-25.659845,47.585175,-6.104958,-25.353298,0.683453
1148,BFD-D65,47.235798,-4.873497,-25.659845,47.274811,-2.506462,-27.221846,1.918470
1149,BFD-D65,47.235798,-4.873497,-25.659845,47.026924,-6.090162,-26.323709,1.127100
1150,BFD-D65,47.235798,-4.873497,-25.659845,47.066196,-4.817690,-23.221413,1.750600
1151,BFD-D65,47.235798,-4.873497,-25.659845,47.183708,-8.770484,-23.828453,2.637890
1152,BFD-D65,47.235798,-4.873497,-25.659845,48.373238,-2.047321,-26.305017,1.498800
1153,BFD-D65,47.235798,-4.873497,-25.659845,47.610901,-6.321294,-24.666119,1.199040
1154,BFD-D65,47.235798,-4.873497,-25.659845,48.573505,-5.818207,-23.300150,1.642690
1155,BFD-D65,47.235798,-4.873497,-25.659845,47.867039,-6.135065,-23.704105,1.139090
1156,BFD-D65,71.214287,-18.133331,-0.366930,71.710800,-21.133921,-0.813583,2.103090
1157,BFD-D65,71.214287,-18.133331,-0.366930,71.227966,-16.388208,2.159288,2.061860
1158,BFD-D65,71.214287,-18.133331,-0.366930,70.829529,-15.738812,2.106069,3.505150
1159,BFD-D65,71.214287,-18.133331,-0.366930,71.364517,-20.538790,1.088389,1.628870
1160,BFD-D65,71.214287,-18.133331,-0.366930,71.214287,-14.126379,2.681320,4.886600
1161,BFD-D65,71.214287,-18.133331,-0.366930,70.850235,-18.903822,2.844337,2.288660
1162,BFD-D65,71.214287,-18.133331,-0.366930,71.609238,-15.665607,1.761258,3.360820
1163,BFD-D65,71.214287,-18.133331,-0.366930,71.001717,-22.703150,1.055757,3.484540
1164,BFD-D65,71.214287,-18.133331,-0.366930,71.063538,-17.569584,2.338595,1.958760
1165,BFD-D65,71.214287,-18.133331,-0.366930,71.724319,-19.315683,1.709486,1.546390
1166,BFD-D65,71.214287,-18.133331,-0.366930,70.864029,-17.594755,1.534497,1.608250
1167,BFD-D65,71.214287,-18.133331,-0.366930,70.981094,-19.186682,4.152326,3.525770
1168,BFD-D65,71.214287,-18.133331,-0.366930,71.588890,-21.204393,0.239026,1.896910
1169,BFD-D65,71.214287,-18.133331,-0.366930,71.084129,-16.117289,0.823676,1.670100
1170,BFD-D65,71.214287,-18.133331,-0.366930,71.090988,-18.228727,0.685333,1.010310
1171,BFD-D65,71.214287,-18.133331,-0.366930,71.221123,-21.468981,-0.680605,2.061860
